
1,6.48,1741970331
1,6.48,1741970366
2,17.45,1741970367
3,3.24,1741970368
4,7.24,1741970368
5,3.24,1741970369
6,3.24,1741970369
7,16.2,1741970370
8,9.16,1741970371
9,9.16,1741970371
10,3.24,1741970372
11,4.58,1741970372
12,3.24,1741970373
13,7.24,1741970374
1,6.83,1741970375
2,27.58,1741970375
3,5.89,1741970376
4,10.91,1741970376
5,6.85,1741970377
6,3.89,1741970378
7,20.5,1741970378
8,13.29,1741970379
9,12.25,1741970380
10,4.56,1741970380
11,5.5,1741970381
12,7.39,1741970381
13,9.65,1741970382
1,5.86,1741970383
2,34.46,1741970384
3,7.36,1741970384
4,11.05,1741970385
5,15.04,1741970385
6,3.8,1741970386
7,20.92,1741970387
8,13.2,1741970387
10,3.19,1741970388
11,5.38,1741970388
12,9.63,1741970389
13,10.65,1741970390
1,5.91,1741970391
2,40.4,1741970391
3,7.71,1741970392
4,10.98,1741970392
5,19.58,1741970393
6,2.66,1741970394
1,6.48,1741970720
2,17.45,1741970721
3,3.24,1741970722
4,7.24,1741970723
5,3.24,1741970724
6,3.24,1741970725
7,16.2,1741970726
8,9.16,1741970727
9,9.16,1741970728
10,3.24,1741970729
11,4.58,1741970729
12,3.24,1741970730
13,7.24,1741970731
1,6.83,1741970732
2,27.58,1741970733
3,5.89,1741970734
4,10.91,1741970735
5,6.85,1741970736
6,3.89,1741970737
7,20.5,1741970738
8,13.29,1741970739
9,12.25,1741970740
10,4.56,1741970741
11,5.5,1741970742
12,7.39,1741970743
13,9.65,1741970744
1,5.86,1741970745
2,34.46,1741970746
3,7.36,1741970747
4,11.05,1741970747
5,15.04,1741970748
6,3.8,1741970749
1,6.48,1741970876
2,17.45,1741970877
3,3.24,1741970878
4,7.24,1741970879
5,3.24,1741970880
6,3.24,1741970881
7,16.2,1741970882
8,9.16,1741970883
9,9.16,1741970883
10,3.24,1741970884
11,4.58,1741970885
12,3.24,1741970886
13,7.24,1741970887
1,6.83,1741970888
2,27.58,1741970889
3,5.89,1741970890
4,10.91,1741970891
5,6.85,1741970892
6,3.89,1741970893
7,20.5,1741970894
8,13.29,1741970895
9,12.25,1741970896
10,4.56,1741970897
11,5.5,1741970898
12,7.39,1741970899
13,9.65,1741970899
1,5.86,1741970901
1,6.48,1741971774
2,17.45,1741971779
3,3.24,1741971784
4,7.24,1741971789
5,3.24,1741971794
6,3.24,1741971799
7,16.2,1741971804
1,6.48,1741971937
2,17.45,1741971942
3,3.24,1741971947
4,7.24,1741971952
5,3.24,1741971957
6,3.24,1741971962
7,16.2,1741971967
8,9.16,1741971972
9,9.16,1741971977
10,3.24,1741971982
11,4.58,1741971987
12,3.24,1741971992
1,6.48,1741972098
2,17.45,1741972104
3,3.24,1741972109
4,7.24,1741972114
5,3.24,1741972120
6,3.24,1741972125
7,16.2,1741972130
8,9.16,1741972135
1,6.48,1741972379
1,6.48,1741972425
1,6.48,1741972482
1,6.48,1741972597
2,17.45,1741972602
3,3.24,1741972608
4,7.24,1741972613
5,3.24,1741972618
1,0.0,1741974164
2,0.0,1741974169
3,0.0,1741974174
4,3.24,1741974179
5,0.0,1741974184
